Date,Purchase Capacity (Mbps),Delay(msec),Jitter(ms),Avg(out) mb/sbit/s,Avg(in) mb/sbit/s,Peak Throughput (Mbps) ,Utilization
11/1/2018,600,2,2 ,38.72070313,3.622070313,81.26464844,0.135441081
11/2/2018,600,3,2 ,36.20898438,0.0353603363,71.20800781,0.118680013
11/3/2018,600,2,2 ,34.84765625,3.421875,82.90136719,0.138168945
11/4/2018,600,2,2 ,31.86914063,3.073242188,71.2109375,0.118684896
11/5/2018,600,2,2 ,33.19042969,2.961914063,77.29589844,0.128826497
11/6/2018,600,3,2 ,34.35351563,3.344726563,75.14160156,0.125236003
11/7/2018,600,2,2 ,33.48242188,3.295898438,82.08691406,0.136811523
11/8/2018,600,2,2 ,32.71289063,3.02734375,73.63378906,0.122722982
11/9/2018,600,2,2 ,41.80566406,3.936523438,83.8828125,0.139804688
11/10/2018,600,3,2 ,34.62109375,3.241210938,74.94238281,0.124903971
11/11/2018,600,2,2 ,34.74511719,3.224609375,81.09667969,0.135161133
11/12/2018,600,2,2 ,34.5546875,3.3359375,79.23535156,0.132058919
11/13/2018,600,2,1 ,35.38183594,3.272460938,74.22753906,0.123712565
11/14/2018,600,2,2 ,35.48730469,3.293945313,96.21484375,0.160358073
11/15/2018,600,2,1 ,35.21386719,3.2109375,81.83496094,0.136391602
11/16/2018,600,2,2 ,39.89746094,3.896484375,85.07128906,0.141785482
11/17/2018,600,2,2 ,37.58886719,3.641601563,88.14453125,0.146907552
11/18/2018,600,2,1 ,36.23925781,3.509765625,71.74414063,0.119573568
11/19/2018,600,2,2 ,33.55371094,3.583984375,86.04785156,0.143413086
11/20/2018,600,2,2 ,35.78320313,3.458007813,79.52832031,0.132547201
11/21/2018,600,2,2 ,38.93164063,3.919921875,80.55957031,0.134265951
11/22/2018,600,2,1 ,38.28125,3.654296875,91.66601563,0.152776693
11/23/2018,600,2,1 ,42.55566406,3.963867188,85.640625,0.142734375
11/24/2018,600,2,2 ,36.87792969,3.646484375,77.80175781,0.129669596
11/25/2018,600,2,2 ,34.32519531,3.733398438,79.86621094,0.133110352
11/26/2018,600,2,2 ,35.70214844,7.376953125,81.265625,0.135442708
11/27/2018,600,2,1 ,34.11230469,3.52734375,81.21679688,0.135361328
11/28/2018,600,2,2 ,38.79394531,3.770507813,94.984375,0.158307292
11/29/2018,600,2,2 ,38.79394531,3.770507813,94.984375,0.158307292
11/30/2018,600,2,2 ,42.30957031,4.038085938,83.17578125,0.138626302
